"id","uri","additional.name","given.name","family.name","full.name","birth.date","gender","constituency","party"
"567","http://lda.data.parliament.uk/members/567.csv","Gerald","Peter","Hain","Mr Peter Hain","1950-02-16","Male","Neath","Labour"
"1529","http://lda.data.parliament.uk/members/1529.csv","Michael","David","Gauke","Mr David Gauke","1971-10-08","Male","South West Hertfordshire","Conservative"
"3951","http://lda.data.parliament.uk/members/3951.csv",NA,"Duncan","Hames","Duncan Hames","1977-06-16","Male","Chippenham","Liberal Democrat"
"4109","http://lda.data.parliament.uk/members/4109.csv",NA,"Jeremy","Lefroy","Jeremy Lefroy","1959-05-30","Male","Stafford","Conservative"
"553","http://lda.data.parliament.uk/members/553.csv",NA,"Ann","Clwyd","Ann Clwyd","1937-03-21","Female","Cynon Valley","Labour"
"1513","http://lda.data.parliament.uk/members/1513.csv",NA,"Jo","Swinson","Jo Swinson","1980-02-05","Female","East Dunbartonshire","Liberal Democrat"
"111","http://lda.data.parliament.uk/members/111.csv","John","Nicolas","Gibb","Mr Nick Gibb","1960-09-03","Male","Bognor Regis and Littlehampton","Conservative"
"389","http://lda.data.parliament.uk/members/389.csv","Louise","Caroline","Flint","Caroline Flint","1961-09-20","Female","Don Valley","Labour"
"3990","http://lda.data.parliament.uk/members/3990.csv",NA,"Richard","Graham","Richard Graham","1958-04-04","Male","Gloucester","Conservative"
"33","http://lda.data.parliament.uk/members/33.csv","Jack","Eric","Pickles","Mr Eric Pickles","1952-04-20","Male","Brentwood and Ongar","Conservative"
"4082","http://lda.data.parliament.uk/members/4082.csv",NA,"Lisa","Nandy","Lisa Nandy","1979-08-09","Female","Wigan","Labour"
"4269","http://lda.data.parliament.uk/members/4269.csv","Joseph","Andrew","McDonald","Andy McDonald","1958-03-08","Male","Middlesbrough","Labour"
"1554","http://lda.data.parliament.uk/members/1554.csv",NA,"Stephen","Crabb","Stephen Crabb","1973-01-20","Male","Preseli Pembrokeshire","Conservative"
"523","http://lda.data.parliament.uk/members/523.csv","Hugh","Nicholas","Brown","Mr Nicholas Brown","1950-06-13","Male","Newcastle upon Tyne East","Labour"
